EnterpriseID,LAST,FIRST,MIDDLE,SUFFIX,DOB,GENDER,SSN,ADDRESS1,ADDRESS2,ZIP,MOTHERS_MAIDEN_NAME,MRN,CITY,STATE,PHONE,PHONE2,EMAIL,ALIAS,LINK_ID
19440639,Kassner,Austin Conrad,,,2013-02-25,male,999-56-9655,7596 Pineridge Ter,,80108-8260,Verlene Bogisich,5bede1c9-bed1-4a45-8910-6d842d904fcb,Castle Pines,Colorado,,,,Austin Conrad Kassner,104374
19439150,Dahl,Danny Allan,,,2015-08-15,male,999-80-6619,2685 S Hooker St,,80219-5824,Ching Barrows,5512a7ec-3ebc-4c70-9931-f00354657aa0,Denver,Colorado,,,,Danny Allan Dahl,103931
19440906,Claxton,Tyler Ludo,,,2014-01-30,male,999-14-7971,12973 E 47th Ave,,80239-4403,Eufemia Bayer,32be6c99-8250-4090-97e9-138c0787fe35,Denver,Colorado,,,,Tyler Ludo Claxton,104463
19442754,Garcia,Jered Pablo,,,2012-04-07,male,999-21-2103,3614 Mountain View Ave,,80503-2131,Viola Rutherford,d1460744-67b3-4140-90af-b518e1dc0a26,Longmont,Colorado,,,,Jered Pablo Garcia,105079
19441023,Sutton,Abigail Tammy,,,2012-03-29,female,999-90-3084,9850 Federal Blvd LOT 299,,80260-5774,Daniela Swaniawski,354e7e05-5565-4133-a238-0d206446ba67,Denver,Colorado,,,,Abigail Tammy Sutton,104502
19439415,Dowling,Aidan Christopher,,,2015-10-05,male,999-71-7716,14251 EAST DICKINSON DR. #D,,80014-2372,Azalee Runolfsdottir,9913c0ee-5116-4833-8f50-8750efa6c7aa,Aurora,Colorado,,,,Aidan Christopher Dowling,104025
19441218,Case,Erick Quinn,,,2012-08-16,male,999-17-3957,80 S Grant St,,80209-1719,Elsa Benítez,6728ff5c-a4cd-460f-98c9-f27984c024e2,Denver,Colorado,,,,Erick Quinn Case,104567
19440498,Miller,Ryan Ingo,,,2013-07-27,male,999-43-8029,3409 S Uravan Way APT 301,,80013-4492,Latrina Nader,e3aa6851-37c5-401a-956f-7d902302bacc,Aurora,Colorado,,,,Ryan Ingo Miller,104327
19441527,Curd,Chad Heath,,,2011-01-16,male,999-70-5021,941 S Tennyson St,,80219-3194,Brandi Willms,fa104e23-29af-45e8-aefb-3fba1401591b,Denver,Colorado,,,,Chad Heath Curd,104670
19439416,Ducey,Oliver Lucas,,,2007-09-30,male,999-41-2011,920 Timbervale Trl.,,80129-2601,Karol Yundt,0e214444-32da-48dd-b712-08bdc62a8467,Hghlnds Ranch,Colorado,,,,Oliver Lucas Ducey,104026
19439387,Jaramillo,Michaela Flavia,,,2018-02-07,male,999-33-1013,5409 EAST 114TH PLAC,,80233-2872,Lucrecia Kilback,8cca2acd-f9c6-444f-97c4-c2e64d42504a,Thornton,Colorado,,,,Michaela Flavia Jaramillo,104013
19441029,Gunn,Jordan Davida,,,2013-12-23,female,999-41-8681,12071 W 67th Ave,,80004-2301,Alex Torphy,45e029f6-eb51-4e57-9ef1-6e38b0a87ba6,Arvada,Colorado,,,,Jordan Davida Gunn,104504
19443462,Solis,Emily Allison,,,2011-03-16,female,999-46-7162,4655 S Clarkson St,,80113-5858,Leonor Haley,c7c3957a-ca9a-4c27-a728-70644ab49ea3,Englewood,Colorado,,,,Emily Allison Solis,105315
19442337,Mccully,Rose Glenna,,,2009-10-15,female,999-91-3211,18000 Bolero Dr,,80134-6646,Colby Gleason,861017e2-0483-4ae5-b32c-469933553a87,Parker,Colorado,,,,Rose Glenna Mccully,104940
19440336,Funk,Josh Norbert,,,2011-11-07,male,999-44-9129,3228 Lake Park Way APT 101,,80503-9299,Josefina Gutiérrez,b779339c-443b-4eaa-b3fa-b0bf84ff6a9a,Longmont,Colorado,,,,Josh Norbert Funk,104273
