EnterpriseID,LAST,FIRST,MIDDLE,SUFFIX,DOB,GENDER,SSN,ADDRESS1,ADDRESS2,ZIP,MOTHERS_MAIDEN_NAME,MRN,CITY,STATE,PHONE,PHONE2,EMAIL,ALIAS,LINK_ID
19437751,Cardrona,Paul W.,,,2014-11-15,male,999-85-3149,2255 E Noble Pl,,80121-2726,Pearle Parker,de19682b-2815-44e2-8f8b-6346ec120dae,Centennial,Colorado,,,,Paul W. Cardrona,100127
19440362,Hoelz,Elise Karin,,,2013-07-26,female,999-12-4773,19824 E Stanford Dr,,80015-5402,Raye Klein,578f313f-3b23-465b-a7cb-c906db9c0599,Centennial,Colorado,,,,Elise Karin Hoelz,102727
19437675,Rakestraw,Emma Sabella,,,2012-03-10,female,999-19-7490,4598 Wilder     Rd. ,,80003-5034,Karlyn Gottlieb,51a057a1-9b7f-4100-b242-d47e93f0591d,Arvada,Colorado,,,,Emma Sabella Rakestraw,100087
19441556,Wilson,Elicia Roxanne,,,2009-02-21,female,999-33-8536,5805 Flat Rock Ct,,80104-8100,Jana Prosacco,fa3b30ad-404e-4285-9706-f09b524a427f,Castle Rock,Colorado,,,,Elicia Roxanne Wilson,103125
19439307,Leyva,Aviva S,,,2014-05-29,female,999-48-5213,2586 E       99th         Ave,,80229-2535,Chun Collins,9f45e151-fa2c-4953-9683-69a32d0e7de8,Thornton,Colorado,,,,Aviva S Leyva,102390
19443002,Perez,Jasmin Valeria,,,2010-08-04,female,999-76-8527,6058 S Clayton St,,80121-2804,Francina Schinner,570e13dc-75a3-4c1f-b17b-c071a0dba5df,Centennial,Colorado,,,,Jasmin Valeria Perez,103607
19441289,Jones,Ashlee Fanny,,,2013-10-08,female,999-91-2042,4480 W 11th Ave,,80204-2916,Alessandra Deckow,a19d7271-5d89-4ef2-9d02-62c8f1dd10a8,Denver,Colorado,,,,Ashlee Fanny Jones,103036
19443707,Cambier,Carsen Christine,,,2009-02-02,female,999-85-9015,4397 S Akron St,,80111-1242,Kevin Grant,ab58fb55-484a-42d9-9f01-a1674eecdbaa,Greenwood Vlg,Colorado,,,,Carsen Christine Cambier,103842
19440857,Harrell,Chaday Brittany,,,2013-06-08,female,999-99-2535,4432 Sentinel Rock,,80118-8904,Magdalen Larkin,d53e9103-3c47-4dd2-9970-f3544d5e47fe,Larkspur,Colorado,,,,Chaday Brittany Harrell,102892
19439571,Woodcock,Jeffrey Jacob,,,2014-09-01,male,999-37-8323,1696 Daily   Dr,,80516-7235,Olympia Reilly,4a716362-cb03-40e5-9587-343d4e713658,Erie,Colorado,,,,Jeffrey Jacob Woodcock,102478
19442687,Hernandez,Ruth Bianca,,,2013-04-28,female,999-64-9767,20021 E 58th Dr,,80019-2036,Nu Hand,48890af1-b262-4088-8dc6-7db033e65f16,Aurora,Colorado,,,,Ruth Bianca Hernandez,103502
19438171,LNU,Szerra,,,2012-12-30,female,999-91-8068,3197 Green Haven Cir,,80126-7540,Berta Patiño,e4a56462-fefe-41df-a935-ebe00cd01536,Hghlnds Ranch,Colorado,,,,Szerra LNU,100337
19443194,Rodriguez,Melissa Yanet,,,2014-05-12,female,999-61-1810,9936 Sylvestor Rd,,80129-6212,Maude Hane,3a6b90d9-60fb-4b98-8896-c9fd6d60cf6e,Hghlnds Ranch,Colorado,,,,Melissa Yanet Rodriguez,103671
19438563,Lucero,Jordan Ta-To,,,2018-10-19,male,999-96-8357,11823 Canal Dr,,80011-8208,Corinne Runte,c77b6f94-10fd-4aa9-a450-173f39358b69,Aurora,Colorado,,,,Jordan Ta-To Lucero,100531
19442348,Roach,Sarah Jana,,,2011-11-24,female,999-20-9320,10555 W Jewell Ave APT 12-208,,80232-4821,Kathryn Eichmann,256ab3c9-b3f9-4995-86f2-ba6557f7ce32,Denver,Colorado,,,,Sarah Jana Roach,103389
19443578,Ruiz,Bryan Isaac,,,2014-10-09,male,999-31-2962,6462 S Tabor Ct,,80127-4841,Johnny Weissnat,88b386cf-55de-4e09-b2a4-8bc164a5bf58,Littleton,Colorado,,,,Bryan Isaac Ruiz,103799
19439405,Ramos,Camila Antonella,,,2007-05-16,female,999-13-7640,17658 Ponderosa Ave,,80134-8933,Eleonor Bayer,4cde7c05-ff08-4a96-889f-518cb747963d,Parker,Colorado,,,,Camila Antonella Ramos,102411
19441943,Stanton,Amanda Doreen,,,2012-01-29,female,999-58-2148,5325 Oak Ct,,80002-4917,Bobby Kihn,dbf1811a-b564-4545-9e70-56a258d8a898,Arvada,Colorado,,,,Amanda Doreen Stanton,103254
19441589,Jordan,Tessa Lisa,,,2009-12-06,female,999-47-6735,9622 W Long Ave,,80123-2345,Evie Terry,7139d537-ffd5-413d-923f-4baede313d9e,Littleton,Colorado,,,,Tessa Lisa Jordan,103136
19443137,Quinonez,Edgar Memo,,,2014-06-23,male,999-42-9673,830 Delta St,,80221-3718,Ava Lind,fa604f0f-77d0-4247-8c37-19ed98ef29b1,Denver,Colorado,,,,Edgar Memo Quinonez,103652
19441211,Hampton,Torrye Livia,,,2014-10-10,female,999-79-1114,11300 Fenton St,,80020-6878,Maryrose Upton,b6ba2a4a-e573-4877-a536-51cb483825ea,Westminster,Colorado,,,,Torrye Livia Hampton,103010
19441913,Melton,Kylee Madge,,,2012-05-09,female,999-90-9000,3118 Uvalda St,,80011-2032,Adriana Caraballo,3bf422f0-1d29-44b9-8593-839128256ce4,Aurora,Colorado,,,,Kylee Madge Melton,103244
19439849,Karren,Kylene Mae,,,2010-07-01,female,999-37-2822,12790 ESPERA WAY,,80134.0,Rebecka Lynch,f95d2b7c-e9dd-4bd5-ae7d-e129160f2d6c,PARKER,Colorado,,,,Kylene Mae Karren,100635
19442771,Alfaro Andrade,Gisel Violeta,,,2014-03-13,female,999-19-3930,1795 Keota Ln,,80027-8112,Jennine Stiedemann,9874f10e-bc6a-4e7c-8ba5-a9c4ce9e13bd,Superior,Colorado,,,,Gisel Violeta Alfaro Andrade,103530
19443311,Hernandez,Alexis María de Lourdes,,,2010-08-14,female,999-41-7762,2400 E Cherry Creek South Dr UNIT 304,,80209-3255,Marylynn Mante,96176aa2-63e3-49d9-ad0a-e15ff8b618c1,Denver,Colorado,,,,Alexis María de Lourdes Hernandez,103710
19440275,Samuelson,Thor Jochem,,,2010-01-26,male,999-69-4074,24517 E Easter Pl,,80016-4105,Larisa Lindgren,88d0c683-751c-4d0c-98af-3c054b71e6ee,Aurora,Colorado,,,,Thor Jochem Samuelson,102698
19440257,Elbergdar,Nadeen Aasieyah,,,2010-06-15,female,999-46-9859,9033 Federal Blvd APT 354,,80260-7458,Pauline Price,8e91c062-74f4-423b-812e-58cc3b85c385,Westminster,Colorado,,,,Nadeen Aasieyah Elbergdar,102692
19441574,Rumley,Armoni Alfie,,,2009-12-11,male,999-53-4112,14506 E 43rd Ave,,80239-5185,Elinore Tromp,007b857d-f478-4cdf-8c1a-7713c075bb11,Denver,Colorado,,,,Armoni Alfie Rumley,103131
19442006,Preston,Ty Greg,,,2014-05-05,male,999-10-5689,1215 W 148th Ave,,80023-8721,Kathlene McLaughlin,bc70013d-878f-40ba-b31f-7e506117fe77,Westminster,Colorado,,,,Ty Greg Preston,103275
19443269,Herrera,Melissa Luciana,,,2009-05-08,female,999-72-2656,1550 Depew St LOT 9E,,80214-1601,Evette Abshire,763b2681-1976-42f9-b664-b50e7faa7b5a,Lakewood,Colorado,,,,Melissa Luciana Herrera,103696
19440212,Anderson,Gabrielle Lorin,,,2011-09-16,female,999-96-2628,19527 E Dickenson Pl,,80013-7684,Hyacinth DuBuque,13e59f03-cca1-4a68-8a40-9452a74f6cdf,Aurora,Colorado,,,,Gabrielle Lorin Anderson,102677
19442696,Hernandez,Arianna Olga,,,2014-05-07,female,999-43-3576,9630 Dunning Cir,,80126-8127,Claudia Tamayo,c3f46eda-a873-41ce-b866-569e06087a70,Hghlnds Ranch,Colorado,,,,Arianna Olga Hernandez,103505
19442285,Obrien,Amya lerne,,,2010-08-20,female,999-64-7218,5462 Xanadu St,,80239-4063,Jeanice Ruecker,3aa7f7f2-6bc6-4765-bbf0-221f1f89f931,Denver,Colorado,,,,Amya lerne Obrien,103368
19442228,Mccoy,Katie Levane,,,2010-06-25,female,999-14-3952,4700 Carefree Trl,,80134-5238,Shelley Spinka,d8e4d203-7592-4444-aa54-c5b9eae47755,Parker,Colorado,,,,Katie Levane Mccoy,103349
19442417,Casey,Brooke Leena,,,2011-07-13,female,999-80-1772,12696 W Dorado Pl,,80127-2183,Apryl Eichmann,f2b3ed7b-c63e-4a8c-8052-c2e800b57eb0,Littleton,Colorado,,,,Brooke Leena Casey,103412
19441793,Simmons,Wyatt Alick,,,2009-05-31,male,999-82-1250,5622 S Cedar St,,80120-1312,Melda Denesik,5bb580db-65a9-4b68-be73-3e8e21242954,Littleton,Colorado,,,,Wyatt Alick Simmons,103204
19438395,Jaramillo,Jeffrey Marcelo,,,2013-06-24,male,999-19-8236,5409 EAST 114TH PLAC,,80233-2872,Wynell Gutkowski,14de0c77-1e68-4b99-a266-a59d29201a88,Thornton,Colorado,,,,Jeffrey Marcelo Jaramillo,100449
19443827,Johnson,Maya Rhea,,,2010-10-01,female,999-73-6248,5383 Carr St APT 219,,80002-3542,Nola Buckridge,72309872-c215-4c6b-b517-56509173bb61,Arvada,Colorado,,,,Maya Rhea Johnson,103882
19438299,Queen Layton,Bailey Rose,,,2013-05-29,female,999-99-5722,100 S 35th St                     Apt 645,,80229-4646,Pok Gusikowski,06ac7a65-82db-4572-b1d6-7b3507cb4510,Boulder,Colorado,,,,Bailey Rose Queen Layton,100401
19443383,Ramos,Luisa Luz,,,2009-01-01,female,999-83-9579,4109 Blacktail Ct,,80109-7972,Dee Toy,79551d16-4a7a-46f1-b6a3-0567df0c815d,Castle Rock,Colorado,,,,Luisa Luz Ramos,103734
19441721,Herringshaw,Ryan Grant,,,2013-07-10,male,999-25-9515,1888 Regal Ct APT A,,80027-4308,Parthenia Maggio,7f1c36df-94d5-4e7b-b54c-8917161aaca7,Louisville,Colorado,,,,Ryan Grant Herringshaw,103180
19442078,Mohamed,Muntasir Abdul-Hafiz,,,2010-09-10,male,999-93-7503,435 Rose Finch Cir,,80129-5667,Cristie Shields,7573e799-7c3b-4828-b5c2-e5647f85c6fe,Hghlnds Ranch,Colorado,,,,Muntasir Abdul-Hafiz Mohamed-Ali,103299
19438251,Narez,Evangelina Luna,,,2014-02-02,female,999-13-6868,316    WEST DRIVE,,80403-7784,Jonelle Stiedemann,ee0ccae6-16e6-4921-bdd3-036a05332143,GOLDEN,Colorado,,,,Evangelina Luna Narez,100377
19443509,Quintero,Karla Camila,,,2010-02-13,female,999-23-7553,11916 High St,,80233-1354,Joella Paucek,91ddf776-3aac-4cbd-8530-102cc087795e,Northglenn,Colorado,,,,Karla Camila Quintero,103776
19439945,Monge Valladares,Eva Mavis,,,2012-12-05,female,999-58-6859,4102 W Rice Pl,,80236-3408,Luz Alfaro,47ab89d8-2327-416e-9993-dac76cd95e7b,Denver,Colorado,,,,Eva Mavis Monge Valladares,102588
19438443,Rodriguez,FNU Ramón,,,2014-05-25,male,999-59-9567,5390 S Santa Fe Dr,,80120-1137,Elvira Araña,f318d476-ddf0-4398-90dd-99c4651c5fd5,Littleton,Colorado,,,,FNU Ramón Rodriguez-Marcias,100473
19443335,Valdez,Zachary Tomás,,,2010-07-13,male,999-71-8057,17701 E Hamilton Cir UNIT 212,,80013-7608,Zada Lynch,b86a5dcd-efa1-4c45-8e9e-07c2aad1f3aa,Aurora,Colorado,,,,Zachary Tomás Valdez,103718
19441898,Dobel,Donald Jarvis,,,2013-09-16,male,999-22-8526,3100 34th St APT M127,,80301-2121,Ehtel Langworth,3cd3f893-f300-453b-b4e6-cfc2ae544cd6,Boulder,Colorado,,,,Donald Jarvis Dobel,103239
19439476,Duarte,Mariana Sofia,,,2001-12-01,female,999-76-4953,16679 E Berry Ln,,80015-4039,Mariette Greenfelder,2f540679-407c-4306-8c5a-2504caad2456,Centennial,Colorado,,,,Ms. Mariana Sofia Duarte,102440
19439449,Vargas,Giuliana Sophie,,,2016-04-22,female,999-72-6892,3104 Eudora St,,80239-7018,Gabriela Prado,f4f0133b-fe71-4676-bddb-59471a952cf2,Denver,Colorado,,,,Giuliana Sophie Vargas,102431
19443374,Duran,Samantha Isidora,,,2010-06-25,female,999-34-9473,1647 Prairie Falcon Ln,,80020-1288,Carlota Delao,3fecf07b-9afd-4c3c-83ca-6ea79d45a0bc,Broomfield,Colorado,,,,Samantha Isidora Duran,103731
19443572,Zenteno,Irma Maruja,,,2011-01-01,female,999-49-8362,13936 Willow Wood Dr,,80020-6179,Omega Bradtke,d7ec2113-f41f-4a8e-8b82-cb57d82d1da2,Broomfield,Colorado,,,,Irma Maruja Zenteno,103797
19440560,Meyer,Jacob Luca,,,2014-12-04,male,999-33-2502,301 Pearl St APT 2,,80302-4935,Lue Mueller,4bc1a098-d593-494f-85c5-7ece489ac725,Boulder,Colorado,,,,Jacob Luca Meyer,102793
19441277,Markham,Peyton Jerry,,,2014-09-27,male,999-75-5689,6004 Zang Way,,80004-3986,Ángela Melgar,ac3ebc78-0d7d-400a-b2f3-e7fe3082f183,Arvada,Colorado,,,,Peyton Jerry Markham,103032
19441628,Welch,Katelyn Jess,,,2012-01-03,female,999-86-7455,1076 S Elkhart Way APT 107,,80012-3783,In Hermann,c6fee1a8-24c3-41b5-9bea-52a22c8b0168,Aurora,Colorado,,,,Katelyn Jess Welch,103149
19436344,Seymore,Eniia,,,2011-02-05,male,999-13-6738,3820 Jebel St,,80249-8113,Melia Mayert,fa0bc4a8-f2da-49e7-900d-5bcfc02979b2,Denver,Colorado,,,,Eniia Seymore,100003
