EnterpriseID,LAST,FIRST,MIDDLE,SUFFIX,DOB,GENDER,SSN,ADDRESS1,ADDRESS2,ZIP,MOTHERS_MAIDEN_NAME,MRN,CITY,STATE,PHONE,PHONE2,EMAIL,ALIAS,LINK_ID
19438576,Sotelo,Diana Nadia,,,2011-07-16,female,999-26-2612,4200 Yarrow St APT 15,,80033-4557,Martin Steuber,d591cba6-bf58-4996-a23f-e7640bbd4f81,Wheat,Colorado,,,,Diana Nadia Sotelo-Nevarez,100538
19438502,Kantor,Claire Edeltraud,,,2012-03-05,female,999-74-1681,10045 Warren Dr,,80227-2044,Loyce Davis,022d6b6a-c016-4450-b380-ea2bd3b2a735,Lakewood,Colorado,,,,Claire Edeltraud Kantor,100503
19437896,Ingalls,Mc^kenzie,,,2013-11-25,female,999-69-7968,1493 Sterling Hill Court,,80104-7606,Kandace Schamberger,74fd705c-eef8-4e79-8795-ca1dadf5d694,Castle Rock,Colorado,,,,Mc^kenzie Ingalls,100200
19437876,Fleck,Isabella Ellen,,,2009-01-09,female,999-67-8591,3324 E Euclid Ave,,,Corinne Waters,109d449e-6a14-44b3-b66c-127c64e55e37,Thornt0on,Colorado,,,,Isabella Ellen Fleck,100190
19439220,Jenkin,Iris Nora,,,2014-11-15,female,999-14-8428,7174 Ivanhoe St,,80022-1500,Reiko Deckow,ba171c78-f37c-4b76-b7ab-8c38ee7948a4,Commerce City,Colorado,,,,Iris Nora Jenkin,105460
19439244,Rubel,Franklin Ross,,,2006-01-07,male,999-42-3940,111 NORTH SPRING STREET,,80031-3161,Larhonda Kreiger,861dbe9d-acdb-4bc5-8460-217519193bb9,WESTMINSTER,Colorado,,,,Franklin Ross Rubel,105461
19437551,Campbell,Alexa "Lexi" UNK ,,,2011-11-12,female,999-26-5154,956 CHERRYDALE LN,,80026-2003,Lilian Dietrich,436e538e-4a49-4935-9f9b-862d491b3b1b,Lafayette,Colorado,,,,Alexa "Lexi" UNK  Campbell,100029
19439345,Flores,Jose Enrique,,,2004-06-21,male,999-38-9247,24586 E CALHUN PL UNIT C,,80016-2528,Letty Rice,ff2470d6-a1ec-4009-9c81-fb592151c745,AURORA,Colorado,,,,Jose Enrique Flores,105463
19436363,Duhamel,Monet Esta,,,2013-05-07,female,999-72-9900,4607 Portofino Dr,,80503-4151,Laronda Rogahn,f9333840-572c-4968-81b4-8e2c214c86a7,Longmont,Colorado,,,,Monet Esta Duhamel,100010
19437629,Erker,Alexander Conrad,,,2012-03-08,male,999-21-3215,9351 S Johnson Ln,,80122-3303,Birdie Graham,00d2c375-e665-471a-896b-603a4d7ebb0d,Centennial,Colorado,,,,Alexander Conrad Erker,100064
