EnterpriseID,LAST,FIRST,MIDDLE,SUFFIX,DOB,GENDER,SSN,ADDRESS1,ADDRESS2,ZIP,MOTHERS_MAIDEN_NAME,MRN,CITY,STATE,PHONE,PHONE2,EMAIL,ALIAS,LINK_ID
19437924,Watson,Lindsey Jorja,,,2010-12-15,female,999-42-8148,860 w 132nd Ave LOT 182,,80234-1520,Estell Skiles,cd50c518-7cf1-4876-9ccc-a1f5346ac52d,Westminster,Colorado,,,,Lindsey Jorja Watson,100214
19436331,Bustos,Joseph Tomas,,,2001-06-15,male,999-91-2373,5160 s Grant St,,80121-1009,Elizbeth Hyatt,1eceebdf-213f-4c9e-9be4-32144a8f9eff,Littleton,Colorado,,,,Joseph Tomas Bustos,100000
19437834,Garcia,Alejandro Bruno,,,2014-01-02,male,999-70-1536,1500 W Thornton Pkwy LOT 60,,80260.0,Erlinda Franecki,f823dfa9-34a1-4fbf-b96f-62bee2fc0842,Thornton,Colorado,,,,Alejandro Bruno Garcia,100169
19438812,Iturralde,Stephen,,,2009-09-13,male,999-87-4099,2895 CountyRd. N 100,,80481-9608,Marjory McCullough,6439a23e-612d-4544-81c0-35bd9880fc21,WARD,Colorado,,,,Stephen Iturralde,100652
19439020,Long,Mikaela Beverly,,,2010-07-03,female,999-39-2563,52 S Roslyn St,,80233-2806,Christiana Abshire,94ae552f-6e1b-4c6d-b1f8-1ab561859303,Thornton,Colorado,,,,Mikaela Beverly Long,100751
19439891,Villegas,Alejandro Nemesio,,,2011-11-05,male,999-57-8499,4353 SE Pearl St,,80113-5828,Jamie Jacobson,d2dde5e7-0fc4-408c-aad3-11d0fddf3a59,Englewood,Colorado,,,,Alejandro Nemesio Villegas,100777
19438052,Forthman,James Wade Jr.,,,2010-07-24,male,999-79-3154,3327 108th Ave,,80233-4492,Liliana Boehm,327c1f24-b827-42a0-bc1e-31b45b273f58,Northglenn,Colorado,,,,James Wade Jr. Forthman,100278
19439036,Faber,Landon Donald,,,2010-11-20,male,999-16-2979,651 Olympia Ave,,80504-9286,Francene Hills,14879f17-84ed-4912-a498-1d454df0b34a,Longmont,Colorado,,,,Landon Donald Faber,100759
19438682,Pearl,Bonnie Meredi,,,2013-02-28,female,999-42-7288,77 Tenderfoot Dr,,80118-8712,Sumiko Emard,7e288a71-f0b9-4e5e-bfdc-fab91bb5b27e,Larkspur,Colorado,,,,Bonnie Meredi Pearl,100591
19437539,Devon,Cillian Devon- ,,,2011-10-31,male,999-89-8494,34794 34TH PL,,80108-7562,Jolanda Williamson,85192e4d-8caa-4180-8ce2-93093ec12c45,Castle Rock,Colorado,,,,Cillian Devon-  Devon- Gable,100023
19439078,Maas,Polly Sophia,,,2019-05-12,female,999-54-9048,1577 Meyerwood Cir,,80129-1819,Shondra Lindgren,bb99f293-7f4e-4aae-874e-4cae6a462b2a,Hghlnds Ranch,Colorado,,,,Polly Sophia Maas,105469
19438320,Watt,Kiros,,,2010-04-20,male,999-72-3586,14230 E Dickinson Dr,,80013-1611,Deb Welch,81811d0d-72eb-4242-9c49-42a03ea6c155,Aurora,Colorado,,,,Kiros Watt,100412
19437820,Canales Moya,Esteban Carlos ,,,2012-01-16,male,999-95-6680,9789 Eagle Creek Pkwy,,80022-9431,Cher Schmitt,a8408e6e-1528-4d67-a96a-ab389c959741,Commerce City,Colorado,,,,Esteban Carlos  Canales Moya,100162
19445587,Hansen,Matthew Joachim,,,2010-12-19,male,999-54-2077,1180 Emporia St,,80010-3219,Earline Heaney,0db3bf5e-3fbf-4fbd-b836-6731c2fafc4f,Aurora,Colorado,,,,Matthew Joachim Hansen,105477
19439052,Vanderwal,Hannah Jac0lien,,,2013-09-05,female,999-82-5887,150 3 brad-ley,,80305-7370,Altagracia Jerde,290c0206-330a-43c2-9614-1da7332592f5,Boulder,Colorado,,,,Hannah Jac0lien Vanderwal,100767
19437666,Sipes,Kenneth Wallace,,,2010-11-11,male,999-72-1109,4696 E Eastman Ave,,80222-7234,Calandra Hettinger,d7b45f70-0acd-461e-85e4-a675f70a311d,Denver,Colorado,,,,Kenneth Wallace Sipes,100083
19438990,Gi Noh,Hannah Min,,,2012-09-05,female,999-17-1239,727 5th DR,,80503-2136,Marilou Reilly,73e9569a-d662-4eaf-936e-21a2cfc138db,Longmont,Colorado,,,,Hannah Min Gi Noh,100736
19437726,Gutierrez,Freida U,,,2011-03-06,female,999-30-5248,10674 Crystal Circle,,80121-2726,Lorena Deckow,25b33bd0-7e07-41aa-acf5-6165dcfcf269,Centennial,Colorado,,,,Freida U Gutierrez,100115
19438384,Mendoza,L_K,,,2013-11-09,female,999-99-8212,13960 E 104th Dr,,80212-2414,Leigh Graham,46f99474-6861-4306-9914-e27c335ff75d,Denver,Colorado,,,,L_K Mendoza,100444
19438582,Zamora,Zachary Benito,,,2012-01-24,male,999-61-1052,3543 Columbia Dr,,80224-1317,Shanti McKenzie,a2e3f7f8-150a-441d-9b47-a16fc367f18d,devner,Colorado,,,,Zachary Benito Zamora,100541
19437622,Chiga,Cole Junsuke,,,2010-10-03,unknown,999-44-8147,1707 S Uinta Way,,80231-2911,Beula Pacocha,04d98472-1b51-45b8-8b72-02f887cfa5ce,Denver,Colorado,,,,Cole Junsuke Chiga,100060
19438936,Brady,BABYBOY,,,2011-02-09,male,999-87-6325,7004 Eastt Ohio Dr.,,80224-1535,Dionne Denesik,9e500201-ddb5-4b01-a031-a04b239992d8,Denver,Colorado,,,,BABYBOY Brady,100714
19438969,(Tae) Thomp,Taylor Ami,,,2010-04-30,female,999-46-8870,1426 McKay Park Lane,,80247-6246,Laurel Macejkovic,c843a0c1-e30f-4101-8629-33a2f53d88f9,Aurora,Colorado,,,,Taylor Ami (Tae) Thomp,100728
19438024,Norwood,Charity,,,2009-01-18,female,999-10-9720,5247 Perry St,,80212-4030,Britany Langosh,d44348f1-b976-468a-80de-5b550839bccc,Denver,Colorado,,,,Charity Norwood,100264
19437858,Grundner,Jonah,,,2012-08-13,male,999-38-6154,3382 DARTMOUTH AVE,,80229-5965,Verónica Mora,70a1791a-5f39-4832-9bfc-ebde7391af79,Denver,Colorado,,,,Jonah Grundner,100181
19439058,Vangundy,Emily H@cer,,,2009-10-06,female,999-94-5237,805 W 3rd st,,80017-2903,Elia Roberts,20618fe9-5ae8-49fe-8bb0-7fb164b137ef,Aurora,Colorado,,,,Emily H@cer Vangundy,100770
