EnterpriseID,LAST,FIRST,MIDDLE,SUFFIX,DOB,GENDER,SSN,ADDRESS1,ADDRESS2,ZIP,MOTHERS_MAIDEN_NAME,MRN,CITY,STATE,PHONE,PHONE2,EMAIL,ALIAS,LINK_ID
19443271,Perez,Elizabeth Zulema,,,2010-02-10,female,999-76-3163,3149 S Dayton Ct,,80231-4746,Joaquina Nolan,64235001-5ecb-4bf1-88e9-4b281a85d371,Denver,Colorado,,,,Elizabeth Zulema Perez,102132
19442563,Quiroz Ramirez,Victoria Rachel,,,2013-09-07,female,999-35-8794,6049 Ponderosa Way,,80134-5522,Kandis Leuschke,3efce820-689e-4f76-9a22-911c96567082,Parker,Colorado,,,,Victoria Rachel Quiroz Ramirez,101896
19439313,Barstad,Carlotta Karina,,,2015-11-29,female,999-39-6480,26 EMERY WAY APT 25,,80501-1559,Anja Gorczany,e4376e34-bd88-45bb-8b62-ae1c2c36ff45,LONGMONT,Colorado,,,,Carlotta Karina Barstad,100883
19439219,Cowperthwaite,Willamina Faith,,,2012-11-11,female,999-38-2218,4502 Laguna Pl,,80303-3770,Kathi Gusikowski,f8ac91a1-9589-4d74-8c51-0e1077a57c51,Boulder,Colorado,,,,Willamina Faith Cowperthwaite,100842
19440961,Packer,Austin Randall,,,2010-11-09,male,999-31-2600,4488 Hamilton Ct,,80305-5554,Jaqueline Goldner,eb1bf1d0-882d-4963-9898-d1e4e66077f0,Boulder,Colorado,,,,Austin Randall Packer,101362
19443733,Provines,Elizabeth Melissa,,,2011-06-25,female,999-98-8385,9270 Lark Sparrow Dr,,80126-7412,Santa Bergnaum,31fb8c0c-6568-4220-8e32-eaf9141bc6a4,Hghlnds Ranch,Colorado,,,,Elizabeth Melissa Provines,102286
19443118,Arguello Rios,Jesus Almudena,,,2010-06-09,male,999-68-5492,1355 Stuart St,,80204-1242,Donetta Daniel,a338f4e1-7e6e-4820-9a52-942862e82018,Denver,Colorado,,,,Jesus Almudena Arguello Rios,102081
19439329,Clotfelter,Camille Elisabeth,,,2010-01-22,female,999-34-9158,5591 E          Minmerral Cir,,80122-3880,Conchita Gallegos,4efe95e9-4750-4555-98f6-5eeec76b92f4,Centemial,Colorado,,,,Camille Elisabeth Clotfelter,100893
19441543,Rhodes,Destiny Gertrude,,,2009-12-25,female,999-97-5219,827 Lipan St,,80204-4312,Jenifer Hintz,3a09fd7f-5db0-4f3e-94a4-f9b4cf91c90d,Denver,Colorado,,,,Destiny Gertrude Rhodes,101556
19439336,Schwerin,Maxine Ellen,,,2012-12-26,female,999-90-4780,4987 East Elm Lane,,80137-8813,Zella Koepp,2c0e6e6c-9696-43cd-823f-5e8ffcc97833,Watkins,Colorado,,,,Maxine Ellen Schwerin,100895
19439756,Claire,Bruno Thomas,,,2008-12-28,male,999-20-4433,10637 Kipling Way,,80021-3601,Setsuko Hills,80d46e4e-3148-424f-93fe-6a01dfd88fd9,Broomfield,Colorado,,,,Bruno Thomas Claire,100998
19441237,Merryfield,Brenden Truman,,,2013-06-07,male,999-36-9514,10870 Towerbridge Ln,,80130-6637,Latesha Bergstrom,826d2176-996f-4fbb-bcdb-8e089e6b1c9c,Hghlnds Ranch,Colorado,,,,Brenden Truman Merryfield,101454
19442512,Joachin,Carlos Bruno,,,2013-06-02,male,999-49-4847,9801 E 1st Ave APT A114,,80010-4440,Tosha Heathcote,a0251f97-ada6-41c7-821b-97fb3c214621,Aurora,Colorado,,,,Carlos Bruno Joachin,101879
19439283,Holter,Mary Sara,,,2004-03-11,female,999-65-7656,885 Nome St,,80010-4169,Ellamae Kertzmann,069439dd-f91a-407f-acfb-fd66c4077dbf,Aurora,Colorado,,,,Mary Sara Holter,100863
19437589,Meyers Peterson,Ralf MNU,,,2014-06-08,male,999-45-4725,6733 Niwot Hills Dr,,80503.0,Reina Quiroz,f6798cbb-97fa-45b4-a2e3-268e13156187,Niwot,Colorado,,,,Ralf MNU Meyers Peterson,100045
19442728,Cartagena,Brian Adan,,,2012-03-05,male,999-75-5318,1300 S Monroe St,,80210-2522,Shoshana Heaney,f2dd64ec-e779-4245-8ff5-28b14dfe35ba,Denver,Colorado,,,,Brian Adan Cartagena,101951
19442425,Cochran,Scott Curran,,,2013-07-08,male,999-76-1939,553 Indian Peaks Trl W,,80026-9316,Audie Schaefer,f4368983-ad4a-43ec-b2d4-6ee24b6bd2a7,Lafayette,Colorado,,,,Scott Curran Cochran,101850
19442884,Rodriguez,Mikayla Vanessa,,,2010-06-20,female,999-81-3761,5333 Atchison Way,,80239-4111,Latonya Windler,db0c93f7-34d8-4721-afe0-6ceff2cc17d0,Denver,Colorado,,,,Mikayla Vanessa Rodriguez,102003
19442560,Aguero,Mikayla Ana,,,2009-12-05,female,999-39-7338,585 S Quitman St,,80219-2535,Jaqueline Goyette,a0219e2d-1537-444c-be2d-61942c43378f,Denver,Colorado,,,,Mikayla Ana Aguero,101895
19439783,Larocque,Marcus Sebastien,,,2008-12-31,male,999-51-1677,7480 Dakin St APT H202,,80221-6927,Lynda Heidenreich,51e4b79a-763a-428e-aaab-ae1eba327829,Denver,Colorado,,,,Marcus Sebastien Larocque,101010
19439913,Magana Flores,Edward Alfredo,,,2013-04-05,male,999-55-4474,6274 S Prescott St,,80120-2544,Jacque Nitzsche,b9c95dc1-59ec-4f7a-a90a-5ef8ca10e0b9,Littleton,Colorado,,,,Edward Alfredo Magana Flores,100784
19439956,Kois,Olivia Geraldine,,,2013-11-16,female,999-92-4654,4523 S Alkire St,,80465-1214,Samantha Borer,69927be5-3899-4c97-9727-f42243b8d1e0,Morrison,Colorado,,,,Olivia Geraldine Kois,101027
19443823,Knox,Brendan Caleb,,,2014-05-14,male,999-44-1375,16888 W 69th Cir,,80007-7673,Mee Hoppe,f9cf3895-65d1-4185-a5c3-4f042690d44b,Arvada,Colorado,,,,Brendan Caleb Knox,102316
19443061,Galvan,Mike Hernándo,,,2014-08-28,male,999-61-1402,11692 W Lake Ave,,80127-2383,Marylee Klocko,0cb59543-167f-4654-b129-40beb9f6d5a0,Littleton,Colorado,,,,Mike Hernándo Galvan,102062
19440745,Reed,Amelia Gillian,,,2011-05-30,female,999-19-2431,12613 Zuni St # 13-303,,80020-3829,Marya Fahey,2b3cd73d-c756-42c1-935f-b062a5e5e936,Broomfield,Colorado,,,,Amelia Gillian Reed,101290
19441954,Tomlinson,Christopher Rafe,,,2010-05-29,male,999-74-3115,8934 Sleepy Grass Ct,,80134-8952,Elvie Torphy,e809ee5c-e4da-43a9-904e-99d88c05763b,Parker,Colorado,,,,Christopher Rafe Tomlinson,101693
19443277,Francisco,Veva Isidora,,,2009-05-04,female,999-84-7715,8920 Miners St,,80126-5034,Bernarda O'Keefe,f5f12ecc-ea87-40a5-9fb3-e1393b70546e,Hghlnds Ranch,Colorado,,,,Veva Isidora Francisco,102134
19440838,Norton,Madisen Elena,,,2013-12-23,female,999-67-1283,12869 E Dickensen Pl,,80014-5804,Ming Legros,30091699-eaeb-4cf1-a252-c8b33f1dccfd,Aurora,Colorado,,,,Madisen Elena Norton,101321
19440979,Spaulding,Ciera Hilary,,,2012-12-20,female,999-13-7840,8121 E Linvale Pl,,80231-4142,Nan Tillman,176e3d08-79dc-4ce9-bc36-6e6f700af925,Denver,Colorado,,,,Ciera Hilary Spaulding,101368
19442017,Hulse,Kendra Davida,,,2011-11-30,female,999-96-9701,2969 W 81st Ave APT D,,80031-4110,Jeneva McKenzie,0fae18ee-afa0-4afa-b668-e54988ea0c1b,Westminster,Colorado,,,,Kendra Davida Hulse,101714
19441639,Knowlton,Thomas Bartholomew,,,2014-07-08,male,999-94-7360,31022 Wildwoods,,80439-7974,Karla Kulas,4dae009b-3d88-4983-b6f8-504c1b3807bb,Evergreen,Colorado,,,,Thomas Bartholomew Knowlton,101588
19439766,Gregory,Bianca,,,2016-05-28,female,999-54-7358,21265 E Nassau Ave,,80013-7451,Treasa Walsh,53321b58-787d-4846-812b-f10f95308187,Aurora,Colorado,,,,Bianca Gregory,101003
19443457,Salazar,Angelica Daniela,,,2013-06-26,female,999-28-5683,2543 S Milwaukee St,,80210-6214,Darcie Donnelly,a5445c17-4b13-4013-b6bc-c4e77bb0630f,Denver,Colorado,,,,Angelica Daniela Salazar,102194
19443856,Caldwell,Zachary Junior,,,2010-09-26,male,999-80-3548,1780 Argonne St,,80011-5209,María José Rangel,20347de5-4825-495b-a7c3-2826d9444fdc,Aurora,Colorado,,,,Zachary Junior Caldwell,102327
19437754,Orona,Rafael Reinaldo,,,2013-02-02,male,999-31-7395,6290 Castlegate Dr Apr. 17202,,80108-8697,Cleotilde Ziemann,12245a65-2a1a-4a9a-8ac9-07ab7976061c,Castle Rock,Colorado,,,,Rafael Reinaldo Orona,100129
19441846,Warner,Reade Aubrey,,,2013-10-26,male,999-82-1353,2010 Yeager Dr,,80501-1918,Bebe Macejkovic,aba08b8c-c96a-4078-9f1f-b68fb6f73871,Longmont,Colorado,,,,Reade Aubrey Warner,101657
19440502,Rhilinger,Joshua Phillipp,,,2009-08-17,male,999-99-8600,1013 Portland Pl APT 2,,80304-3334,Kum Hettinger,97a70227-742c-488b-958e-0e3a560b6de4,Boulder,Colorado,,,,Joshua Phillipp Rhilinger,101209
19441837,Gregg,Kellsie Edna,,,2013-07-04,female,999-36-4164,1282 Meadow Trl,,80116-8718,Rosario Benítez,fcdf29d4-8dbd-4c33-a6c4-1ed61057dd0b,Franktown,Colorado,,,,Kellsie Edna Gregg,101654
19442518,Macias,Diego Daniel,,,2012-12-20,male,999-89-1144,303 Hooker St APT 6,,80219-1445,Grazyna Stracke,6f4fe0fb-dadb-43d2-bfbd-3b7d17e357e8,Denver,Colorado,,,,Diego Daniel Macias-Gutierrez,101881
19442992,Garcia,Michael Julio Cesar,,,2009-06-07,male,999-89-1441,9307 W Iowa Ave,,80232-6440,Elana Vandervort,3b340674-94f5-4425-ae97-c782563f2bd6,Lakewood,Colorado,,,,Michael Julio Cesar Garcia,102039
19437780,Sales,Jacqueline Cherish,,,2013-03-17,female,999-20-2338,3570 Larkspur Dr,, 80305-7370,Mckenzie Deckow,c834c27f-bdb2-4adc-b96b-90adf70b0719,boulder,Colorado,,,,Jacqueline Cherish Sales,100142
19441018,Wright,Dylan Alan,,,2010-08-29,male,999-11-6011,1193 Eagle Dr,,80601-1596,Lorean Nader,7714bf84-75da-4afa-bd43-4c9394eefc4a,Brighton,Colorado,,,,Dylan Alan Wright,101381
19441285,Tasker,Tiffany Tamsin,,,2013-12-05,female,999-31-3281,2505 S Cimarron St,,80014-2305,Toccara Collier,daea7399-f5ef-414e-bd3c-0b08ba4b490d,Aurora,Colorado,,,,Tiffany Tamsin Tasker,101470
19440067,Daniel,Tewolde Dahlak,,,2013-07-14,male,999-12-2519,2788 Moorhead Ave APT 205-B,,80305-3375,Karey Russel,efbf3d49-39f3-48eb-877f-0e545beebc8b,Boulder,Colorado,,,,Tewolde Dahlak Daniel,101064
19439325,Hau,Oliver Malthe,,,2012-12-22,male,999-38-4255,15259 W 69th Cir UNIT B,,80007-8043,Alica Waelchi,df2211b4-8c1b-4d80-b08d-e03dae2379ab,Arvada,Colorado,,,,Oliver Malthe Hau,100891
19438893,Yann,Qingyuan,,,2010-11-11,female,999-22-4230,17032 E Arkansas Dr,,80017-5236,Saturnina Doyle,d7fd2f06-3731-4180-89be-e83385f7bb1c,Aurora,Colorado,,,,Qingyuan Yann,100692
19439637,Ingalls,Samantha Trudy,,,2015-12-19,female,999-29-5516,1493 Sterling Hill Ct,,80104-7606,Melissia Lebsack,a71fe37a-eff3-45ca-b4cb-5c41d53d1fd5,Castle Rock,Colorado,,,,Samantha Trudy Ingalls,100966
19443352,Starita,Arianna Mercedes,,,2014-05-18,female,999-41-1783,5156 W Fair Pl,,80123-6722,Marisol Bustos,a8d4e848-93e1-4cb0-af41-571964515bda,Littleton,Colorado,,,,Arianna Mercedes Starita,102159
19439841,Yarbrough,Melissa Hayley,,,2010-07-01,female,999-28-8388,4340  S  Pearl  St,,80113.0,Katelin McDermott,5054fb18-b5e7-4912-8022-f49568316eb4,Englewood,Colorado,,,,Melissa Hayley Yarbrough,100103
19442965,Flores,Diana Quinta,,,2010-12-03,female,999-76-8662,557 Elmira St,,80010-4208,Versie Doyle,83e9d1ec-f564-4725-9fb0-97a6a9a510ff,Aurora,Colorado,,,,Diana Quinta Flores-Plata,102030
19440037,Ouellette,Andrew Morris,,,2012-08-07,male,999-26-6203,737 Martin St,,80501-5103,Deborah Zboncak,f364cea3-6ad4-4787-abf1-7a7a2b99ed4d,Longmont,Colorado,,,,Andrew Morris Ouellette,101054
19439294,Donova,Alexa Colette,,,2011-12-28,female,999-44-5114,13960 Westhampton Ct,,80023-4024,Celinda Robel,17afd589-ab52-482d-88b7-c0baac80b713,Broomfield,Colorado,,,,Alexa Colette Donova,100870
19439006,Satter,Holly Rita,,,2010-07-11,female,999-13-7840,15629 E 51st Dr Apt-3e,,80239-5679,Shawana Emard,5e4fd3ac-e794-490f-a1c0-285852e502a5,Denver,Colorado,,,,Holly Rita Satter,100744
19440571,Miller,Derrik Tim,,,2014-03-13,male,999-93-7454,4525 Crystal St,,80239-4997,Dacia Goldner,05aa7f3e-cf18-4bc4-b573-5bc6a1662dfb,Denver,Colorado,,,,Derrik Tim Miller,101232
19443589,Gust,Cirila Flora,,,2012-07-27,female,999-23-5719,10997 Balsam St,,80021-2687,Marquitta Lemke,e2fd1d0f-3c82-4ea1-a75b-97581139d682,Broomfield,Colorado,,,,Cirila Flora Gust,102238
19439209,Craft,Danny Kaye,,,2011-07-17,male,999-94-3585,8137 W FROST,,80128-4325,Lona Schoen,88ef0afa-b601-47c3-bf52-7ada0af210d9,Littleton,Colorado,,,,Danny Kaye Craft,100838
19443493,Moreno,Ricardo Hugo,,,2012-07-12,male,999-19-1987,2912 W Layton Ave,,80110-6331,Christel Pollich,b40f9eea-786b-4cb4-98bd-c57c0076e799,Englewood,Colorado,,,,Ricardo Hugo Moreno,102206
